Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF
"TestCombinedConfiguration$ReloadThread",2,0.75,2.50,21,0.18,5312.09,6,4,33,2,1,105.37,0,34,4.00
"TestCombinedConfiguration$TestDeadlockReloadThread",1,0.00,4.00,11,0.09,2430.53,2,1,33,1,0,104.57,0,22,2.00
"TestCompositeConfiguration",54,0.12,1.24,423,5.18,139503.73,62,8,23,56,13,131.50,161,619,17.00
"TestCompositeConfiguration$TestEventListenerImpl",1,0.00,1.00,4,0.02,112.53,2,1,23,1,2,114.29,5,8,1.00
"TestCompositeConfigurationNonStringProperties",1,0.00,1.00,7,0.07,1105.14,2,1,1,3,4,83.06,6,12,8.00
"TestConfigurationConverter",6,0.00,1.00,61,0.87,21481.44,6,0,7,6,3,145.10,12,81,14.00
"TestConfigurationDynaBean",45,0.00,1.24,275,4.10,125818.52,57,12,16,52,5,122.04,163,444,24.00
"TestConfigurationDynaBeanXMLConfig",1,0.00,1.00,3,0.01,103.10,1,0,2,1,3,126.76,15,8,3.00
"TestConfigurationFactory",19,0.07,1.21,186,2.72,70643.08,37,18,14,24,7,151.70,30,283,18.00
"TestConfigurationInterpolator",25,0.22,1.04,94,1.26,21485.49,29,4,11,25,1,132.01,93,198,14.00
"TestConfigurationIteratorAttributes",5,0.38,1.00,24,0.34,5552.06,7,2,9,5,5,106.85,24,42,10.00
"TestConfigurationKey",11,0.00,1.27,142,1.78,57718.25,14,3,6,11,1,148.99,14,192,14.00
"TestConfigurationMap",3,0.67,1.67,24,0.31,8104.97,6,3,5,8,2,110.14,12,47,4.00
"TestConfigurationNodeIteratorChildren",13,0.08,1.31,82,1.15,23356.05,14,1,18,13,5,111.01,55,140,19.00
"TestConfigurationNodePointer",9,0.12,1.33,66,0.97,25914.65,10,1,11,9,4,111.41,36,111,18.00
"TestConfigurationNodePointerFactory",8,0.00,1.38,63,1.08,30579.45,9,1,10,8,4,109.28,32,103,23.00
"TestConfigurationSet",4,0.56,2.00,30,0.44,13212.15,7,3,7,9,1,130.80,12,56,8.00
"TestConfigurationUtils",24,1.00,1.08,165,2.42,69156.83,25,1,17,25,8,132.03,73,289,22.00
"TestConfigurationUtils$PropertiesConfiguration",1,0.00,1.00,3,0.03,304.33,1,0,17,1,0,183.42,1,9,5.00
"TestConstantLookup",10,0.06,1.00,29,0.30,4600.42,14,4,6,10,2,132.79,40,71,6.00
"TestDataConfiguration",51,0.10,2.27,1010,18.68,1133952.29,52,1,24,51,4,40.86,395,1489,39.00
"TestDatabaseConfiguration",42,0.11,1.02,187,2.27,33739.57,45,3,11,42,5,155.80,102,328,15.00
"TestDatabaseConfiguration$PotentialErrorDatabaseConfiguration",2,1.00,1.50,8,0.06,1005.06,3,1,11,2,1,147.54,6,18,4.00
"TestDatabaseConfigurationEvents",3,0.00,1.00,10,0.08,1086.25,4,1,4,3,3,171.00,6,23,3.00
"TestDefaultBeanFactory",3,0.00,1.00,12,0.13,2228.25,4,1,9,3,2,102.59,16,26,7.00
"TestDefaultBeanFactory$TestBeanDeclaration",5,0.00,1.00,13,0.09,1661.08,5,0,9,5,1,182.30,3,25,4.00
"TestDefaultConfigurationBuilder",57,0.03,1.12,489,7.45,180295.97,74,17,37,57,19,121.36,192,811,22.00
"TestDefaultConfigurationBuilder$DefaultConfigurationBuilder.ConfigurationBuilderProvider",1,0.00,1.00,3,0.03,393.16,1,0,37,1,1,182.54,1,9,6.00
"TestDefaultConfigurationBuilder$ExtendedCombinedConfiguration",1,1.00,2.00,6,0.05,645.65,2,1,37,1,1,77.09,7,14,3.00
"TestDefaultConfigurationBuilder$ExtendedXMLConfiguration",1,1.00,1.00,3,0.01,69.06,2,1,37,1,1,138.49,0,7,0.00
