Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF
"BeanHandlerTest$SubTestBeanInterface",4,0.00,1.00,5,0.13,1428.76,4,0,4,4,0,147.05,0,6,0.00
"BeanListHandler",3,0.25,1.00,10,0.12,2231.39,5,2,5,3,4,102.26,40,15,5.00
"BeanListHandlerTest",4,0.00,1.00,70,1.15,40963.73,4,0,6,4,4,141.70,3,75,24.00
"BeanListHandlerTest$SubTestBean",0,0.00,0.00,1,0.01,23.26,0,0,6,0,1,171.00,0,1,0.00
"BeanListHandlerTest$SubTestBeanInterface",4,0.00,1.00,5,0.13,1428.76,4,0,6,4,0,147.05,0,6,0.00
"BeanMap",32,0.03,2.09,186,2.17,76085.01,38,6,17,33,9,66.20,311,287,22.00
"BeanMap$AbstractSet",2,0.00,1.00,5,0.03,254.31,2,0,17,2,1,139.35,0,8,2.00
"BeanMap$Iterator",3,0.00,1.00,8,0.05,610.46,3,0,17,3,0,136.70,0,12,2.00
"BeanMap$Iterator_7",3,0.00,1.00,9,0.06,1066.59,3,0,17,3,1,132.88,0,13,3.00
"BeanMap$MyMapEntry",2,1.00,1.00,12,0.10,1978.24,3,1,17,2,2,68.16,18,15,7.00
"BeanMap$Transformer",1,0.00,1.00,3,0.02,243.78,1,0,17,1,0,134.18,0,5,5.00
"BeanMap$Transformer_0",1,0.00,1.00,3,0.03,342.66,1,0,17,1,0,133.01,0,5,6.00
"BeanMap$Transformer_1",1,0.00,1.00,3,0.02,243.78,1,0,17,1,0,134.18,0,5,5.00
"BeanMap$Transformer_2",1,0.00,1.00,3,0.02,243.78,1,0,17,1,0,134.18,0,5,5.00
"BeanMap$Transformer_3",1,0.00,1.00,3,0.02,243.78,1,0,17,1,0,134.18,0,5,5.00
"BeanMap$Transformer_4",1,0.00,1.00,3,0.02,243.78,1,0,17,1,0,134.18,0,5,5.00
"BeanMap$Transformer_5",1,0.00,1.00,3,0.02,243.78,1,0,17,1,0,134.18,0,5,5.00
"BeanMap$Transformer_6",1,0.00,1.00,3,0.02,243.78,1,0,17,1,0,134.18,0,5,5.00
"BeanMapHandler",7,0.12,1.00,23,0.28,4727.21,11,4,3,7,4,130.14,113,37,28.00
"BeanMapHandlerTest",7,0.23,1.00,34,0.51,11341.48,12,5,11,7,3,119.89,0,48,21.00
"BeanProcessor",15,0.13,3.00,139,1.93,102277.35,20,5,16,17,5,108.76,248,192,30.00
"BeanProcessorTest",4,0.33,1.50,49,0.77,24043.15,5,1,6,5,5,100.31,0,52,35.00
"BeanProcessorTest$MapColumnToPropertiesBean",8,0.14,1.00,21,0.11,1058.54,12,4,6,8,0,138.43,0,30,0.00
"BidiMap",5,0.00,1.00,6,0.22,3008.00,5,0,0,5,27,169.07,93,7,0.00
"BinaryHeap",28,0.04,1.93,136,1.57,79210.68,33,5,4,28,4,67.78,255,187,14.00
"BinaryHeap$Iterator",3,0.50,3.33,29,0.27,15747.59,5,2,4,3,0,104.19,0,43,16.00
"BlockingBuffer",10,0.33,2.20,73,0.84,34304.69,12,2,5,10,6,60.46,91,108,11.00
"BooleanColumnHandler",2,0.00,1.00,5,0.08,1617.97,2,0,3,2,2,133.03,0,10,7.00
"BooleanColumnHandlerTest",2,0.00,1.00,6,0.08,1036.55,2,0,5,2,2,131.60,0,11,8.00
"BooleanComparator",10,0.06,1.00,28,0.27,5526.75,14,4,2,11,3,101.38,128,41,16.00
"BoundedBuffer",10,0.26,1.70,51,0.55,21724.51,13,3,9,10,9,86.96,59,76,16.00
"BoundedBuffer$NotifyingIterator",2,0.00,1.00,7,0.03,359.06,2,0,9,2,1,172.61,4,11,2.00
"BoundedCollection",2,0.00,1.00,3,0.03,232.86,2,0,1,2,9,130.06,10,4,0.00
"BoundedFifoBuffer",14,0.17,2.29,72,0.89,46421.62,19,5,5,14,8,69.02,109,100,10.00
"BoundedFifoBuffer",16,0.16,2.38,95,1.15,64596.84,22,6,13,16,9,63.58,137,123,12.00
"BoundedFifoBuffer$Iterator",3,0.67,3.00,34,0.34,21797.48,6,3,13,3,1,150.57,3,47,17.00
"BoundedFifoBuffer$Iterator",3,0.67,2.67,30,0.28,14722.25,6,3,5,3,1,151.93,2,38,3.00
"BoundedMap",2,0.00,1.00,3,0.03,232.86,2,0,1,2,5,130.06,10,4,0.00
"Buffer",2,0.00,1.00,3,0.03,267.11,2,0,1,2,26,115.24,12,4,0.00
"BufferOverflowException",4,0.33,1.00,12,0.06,470.29,5,1,0,4,6,87.74,33,17,1.00
"BufferUnderflowException",4,0.33,1.00,12,0.06,470.29,5,1,1,4,17,87.16,34,17,1.00
"BufferUtils",10,1.00,1.00,21,0.22,3095.88,11,1,7,12,13,110.64,131,32,8.00
"BulkTest",5,0.75,1.60,19,0.17,2946.92,6,1,9,5,75,120.14,186,29,7.00
"BulkTestSuiteMaker",11,0.03,3.36,95,1.21,37035.83,15,4,0,11,1,82.61,60,116,23.00
"ByteColumnHandler",2,0.00,1.00,5,0.08,1617.97,2,0,3,2,2,133.03,0,10,7.00
"ByteColumnHandlerTest",2,0.00,1.00,6,0.08,1036.55,2,0,5,2,2,131.60,0,11,8.00
"CaseInsensitiveMap",8,1.00,1.12,22,0.16,1873.99,9,1,5,8,2,90.25,86,33,5.00
"ChainedClosure",6,0.30,2.00,39,0.37,12023.92,8,2,4,6,5,64.28,53,46,9.00
"ChainedTransformer",6,0.30,2.00,40,0.38,12666.95,8,2,4,6,5,64.00,57,47,10.00
"CircularFifoBuffer",4,1.00,1.25,12,0.07,654.89,5,1,1,4,2,106.10,52,18,1.00
"CloneTransformer",3,0.50,1.33,11,0.07,1068.67,5,2,2,4,4,79.55,27,16,5.00
"Closure",1,0.00,1.00,2,0.01,84.05,1,0,0,1,17,96.28,8,3,0.00
"ClosureTransformer",4,0.17,1.25,15,0.09,1226.06,6,2,3,4,4,79.72,36,21,4.00
"ClosureUtils",18,0.00,1.11,54,0.62,17615.90,18,0,13,18,16,106.09,246,72,16.00
"CollatingIterator",21,0.03,1.95,127,1.10,29928.77,26,5,8,21,3,69.70,162,154,14.00
"CollectionUtils",48,0.50,3.23,409,4.82,236983.49,50,2,17,51,17,74.04,607,513,27.00
"ColumnHandler",2,0.00,1.00,3,0.06,761.66,2,0,2,2,14,95.77,16,4,0.00
"ColumnHandlerTestBase",4,0.11,1.00,12,0.10,1359.52,7,3,6,4,9,133.04,0,20,2.00
"ColumnListHandler",5,0.38,1.20,17,0.15,2467.11,7,2,2,5,2,81.21,50,26,10.00
"ColumnListHandlerTest",4,0.00,1.00,27,0.42,9702.42,4,0,4,4,3,162.06,3,32,13.00
"ComparableComparator",5,0.50,1.00,13,0.12,2085.53,7,2,2,6,12,130.24,78,20,17.00
"ComparatorChain",18,0.04,1.83,85,0.81,24073.11,22,4,6,18,3,71.48,174,119,12.00
"ComparatorUtils",12,0.45,1.67,47,0.46,14021.05,13,1,8,13,9,80.22,132,67,13.00
"CompositeCollection",23,0.11,1.91,137,1.35,43535.78,25,2,8,23,13,67.28,187,154,17.00
"CompositeCollection$CollectionMutator",3,0.00,1.00,4,0.16,3050.26,3,0,8,3,1,104.87,36,5,0.00
"CompositeMap",22,0.12,2.14,147,1.50,60409.41,24,2,7,22,9,79.02,275,155,12.00
"CompositeMap$MapMutator",3,0.00,1.00,4,0.19,2793.24,3,0,7,3,1,142.26,48,6,0.00
"CompositeSet",10,0.00,2.40,60,0.67,25249.65,10,0,5,10,7,72.34,70,73,22.00
"CompositeSet$SetMutator",1,0.00,1.00,2,0.03,345.40,1,0,5,1,1,119.41,14,3,0.00
"ConstantFactory",4,0.00,1.25,15,0.09,1159.52,7,3,2,5,6,80.28,38,21,3.00
"ConstantTransformer",4,0.00,1.25,15,0.09,1123.30,7,3,2,5,7,80.87,39,21,3.00
"CursorableLinkedList",20,0.37,1.65,94,0.84,16548.67,22,2,11,21,4,76.64,213,124,14.00
"CursorableLinkedList",45,0.01,2.62,350,3.95,158149.30,50,5,13,47,2,59.74,431,433,22.00
"CursorableLinkedList$Cursor",10,0.67,2.20,50,0.43,11812.45,11,1,13,10,0,169.52,8,70,11.00
