Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF, LCOM2, MAXCC, R-R, NSUB, NSUP, NCO, FOUT, DIT, CCOM, COH, S-R, Superclass, MINC, EXT, INTR, MPC, HVOL, HIER, HLTH, SIX, TCC, NQU, F-IN, MOD, LMC
"AbstractTestBidiMap$TestBidiMapEntrySet",2,0.00,3.00,41,0.62,35451.10,2,0,10,2,1,108.54,6,50,68.00,2.00,5,0.50,0,1,2,1,2,9,0.00,0.00,org.apache.commons.collections.TestMapEntrySet,87.92,0,0,0,1847.93,8,322,0.00,6,0,0,1,0
"AbstractTestBidiMap$TestBidiMapIterator",9,0.00,1.00,22,0.16,1424.88,9,0,10,9,4,172.66,2,32,6.00,9.00,1,0.83,0,5,2,4,6,2,0.00,0.00,org.apache.commons.collections.iterators.AbstractTestMapIterator,138.97,0,0,0,470.00,6,135,0.73,9,7,0,1,1
"AbstractTestBidiMap$TestInverseBidiMap",13,0.08,1.00,29,0.18,2081.58,14,1,10,13,2,140.41,0,43,8.00,0.00,1,0.67,0,2,1,2,3,0,0.92,0.00,org.apache.commons.collections.bidimap.AbstractTestBidiMap,140.41,0,0,0,548.92,0,168,0.21,13,12,0,1,0
"AbstractTestCollection",41,0.10,2.93,567,6.86,395418.88,43,2,18,41,10,47.21,399,750,35.00,20.00,11,0.10,27,3,23,1,4,134,0.40,6.75,org.apache.commons.collections.AbstractTestObject,96.40,0,0,0,20591.29,4,3810,0.17,120,18,9,2,18
"AbstractTestComparator",16,0.00,1.19,68,0.64,13207.69,16,0,8,16,6,110.66,76,95,10.00,16.00,4,0.27,7,3,9,1,4,24,0.00,1.75,org.apache.commons.collections.AbstractTestObject,124.32,0,0,0,1918.37,5,431,0.36,19,7,5,2,7
"AbstractTestIterableMap",5,0.00,2.80,53,0.51,16569.04,5,0,7,5,14,104.62,20,65,10.00,2.00,4,0.21,14,4,4,5,5,10,0.00,2.80,org.apache.commons.collections.map.AbstractTestMap,104.39,0,0,0,1517.37,3,321,0.00,14,1,9,2,0
"AbstractTestIterableMap$InnerTestMapIterator",10,0.00,1.00,24,0.17,1586.82,10,0,7,10,4,171.52,2,35,6.00,10.00,1,0.83,0,5,2,4,6,2,0.00,0.00,org.apache.commons.collections.iterators.AbstractTestMapIterator,139.26,0,0,0,513.19,6,148,0.81,10,8,0,1,2
"AbstractTestIterator",11,0.00,1.91,54,0.40,9747.58,11,0,3,11,15,79.28,77,77,7.00,11.00,5,0.09,30,3,5,1,4,25,0.00,7.50,org.apache.commons.collections.AbstractTestObject,121.57,0,0,0,1210.11,3,277,0.10,21,6,14,2,6
"AbstractTestList",49,0.00,3.00,618,7.17,300671.15,49,0,17,49,19,70.05,283,754,32.00,49.00,10,0.05,19,1,37,3,2,113,0.00,9.50,org.apache.commons.collections.AbstractTestCollection,99.42,0,0,0,21513.79,18,4181,0.00,147,12,16,2,10
"AbstractTestList$AbstractCollection",2,0.00,1.00,5,0.02,278.95,2,0,17,2,0,139.04,0,8,2.00,2.00,1,0.00,0,0,0,0,1,0,0.00,0.00,java.lang.Object,139.04,0,0,0,69.74,0,22,0.00,2,2,0,1,0
"AbstractTestList$BulkTestSubList",12,0.18,1.00,35,0.33,5150.83,13,1,17,12,1,132.70,0,48,15.00,0.00,1,0.67,0,2,4,1,3,0,0.83,0.00,org.apache.commons.collections.list.AbstractTestList,132.70,0,0,0,978.27,1,257,0.20,12,8,0,2,1
"AbstractTestList$TestListIterator",7,0.00,1.00,17,0.13,1131.67,7,0,17,7,2,139.00,0,25,5.00,7.00,1,0.83,0,5,1,2,6,0,0.00,0.00,org.apache.commons.collections.iterators.AbstractTestListIterator,139.00,0,0,0,380.79,6,108,0.58,7,6,0,1,0
"AbstractTestListIterator",15,0.00,2.27,107,1.00,35098.79,15,0,4,15,7,81.57,88,144,10.00,15.00,5,0.40,5,4,8,1,5,32,0.00,1.00,org.apache.commons.collections.iterators.AbstractTestIterator,112.12,0,0,0,3008.70,5,632,0.18,34,7,6,2,5
"AbstractTestMap",65,0.03,1.92,594,6.96,334884.18,71,6,12,65,19,60.28,482,764,28.00,437.00,14,0.07,41,3,40,4,4,105,0.14,10.25,org.apache.commons.collections.AbstractTestObject,105.48,0,0,0,20889.79,9,4193,0.09,125,25,15,2,24
